Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.174.130-192.168.174.1-64547-53-17,192.168.174.130,64547,192.168.174.1,53,17,25/05/2022 07:32:15 PM,7997423,4,1,164,41,41,41,41,0,41,41,41,0,25.63325711,0.625201393,1999355.75,1414899.338,4000025,997171,7000252,2333417.333,1527523.275,4000025,999972,0,0,0,0,0,0,0,0,0,32,8,0.500161114,0.125040279,41,41,41,0,0,0,0,0,0,0,0,0,0,0,49.2,41,41,0,0,0,0,0,0,4,164,1,41,-1,-1,4,0,0,0,0,0,0,0,0,0,Malicious
192.168.174.128-192.168.174.130-6522-49218-6,192.168.174.130,49218,192.168.174.128,6522,6,25/05/2022 07:23:37 PM,1016498,2,4,0,0,0,0,0,0,0,0,0,0,0,5.902618598,203299.6,275409.8023,510420,453,499953,499953,0,499953,499953,1016498,338832.6667,289090.4133,510873,5073,0,0,0,0,60,92,1.967539533,3.935079066,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,4,0,-1,0,0,0,0,0,0,0,0,0,0,0,Malicious
192.168.174.128-192.168.174.1-63121-53-17,192.168.174.128,63121,192.168.174.1,53,17,25/05/2022 07:19:47 PM,3003744,2,1,68,34,34,34,34,0,34,34,34,0,33.95762089,0.998753556,1501872,725480.2438,2014864,988880,2014864,2014864,0,2014864,2014864,0,0,0,0,0,0,0,0,0,16,8,0.665835704,0.332917852,34,34,34,0,0,0,0,0,0,0,0,0,0,0,45.33333333,34,34,0,0,0,0,0,0,2,68,1,34,-1,-1,2,0,0,0,0,0,0,0,0,0,Malicious
192.168.174.130-192.168.174.1-54318-53-17,192.168.174.130,54318,192.168.174.1,53,17,25/05/2022 07:29:31 PM,2999012,2,1,68,34,34,34,34,0,34,34,34,0,34.01120102,1.000329442,1499506,711127.3903,2002349,996663,2002349,2002349,0,2002349,2002349,0,0,0,0,0,0,0,0,0,16,8,0.666886295,0.333443147,34,34,34,0,0,0,0,0,0,0,0,0,0,0,45.33333333,34,34,0,0,0,0,0,0,2,68,1,34,-1,-1,2,0,0,0,0,0,0,0,0,0,Malicious
192.168.174.130-192.168.174.1-57037-53-17,192.168.174.130,57037,192.168.174.1,53,17,25/05/2022 07:07:12 PM,8004218,4,1,144,36,36,36,36,0,36,36,36,0,22.48814313,0.624670642,2001054.5,1417115.79,4004838,996811,7007407,2335802.333,1529702.283,4004838,1000556,0,0,0,0,0,0,0,0,0,32,8,0.499736514,0.124934128,36,36,36,0,0,0,0,0,0,0,0,0,0,0,43.2,36,36,0,0,0,0,0,0,4,144,1,36,-1,-1,4,0,0,0,0,0,0,0,0,0,Malicious
192.168.174.130-192.168.174.1-57047-53-17,192.168.174.130,57047,192.168.174.1,53,17,25/05/2022 07:14:17 PM,2991352,2,1,68,34,34,34,34,0,34,34,34,0,34.09829402,1.002891,1495676,713252.9533,2000022,991330,2000022,2000022,0,2000022,2000022,0,0,0,0,0,0,0,0,0,16,8,0.668594,0.334297,34,34,34,0,0,0,0,0,0,0,0,0,0,0,45.33333333,34,34,0,0,0,0,0,0,2,68,1,34,-1,-1,2,0,0,0,0,0,0,0,0,0,Malicious
192.168.174.130-239.255.255.250-61650-1900-17,192.168.174.130,61650,239.255.255.250,1900,17,25/05/2022 07:17:25 PM,3014586,3,1,522,174,174,174,174,0,174,174,174,0,230.8774737,1.326882033,1004862,5792.980925,1011360,1000238,2003226,1001613,1944.543648,1002988,1000238,0,0,0,0,0,0,0,0,0,24,8,0.995161525,0.331720508,174,174,174,0,0,0,0,0,0,0,0,0,0,0,217.5,174,174,0,0,0,0,0,0,3,522,1,174,-1,-1,3,0,0,0,0,0,0,0,0,0,Malicious
192.168.174.130-192.168.174.1-63395-53-17,192.168.174.130,63395,192.168.174.1,53,17,25/05/2022 07:09:48 PM,8130630,4,1,148,37,37,37,37,0,37,37,37,0,22.75346437,0.614958496,2032657.5,1474877.112,4128802,1000059,7129816,2376605.333,1597840.126,4128802,1000059,0,0,0,0,0,0,0,0,0,32,8,0.491966797,0.122991699,37,37,37,0,0,0,0,0,0,0,0,0,0,0,44.4,37,37,0,0,0,0,0,0,4,148,1,37,-1,-1,4,0,0,0,0,0,0,0,0,0,Malicious
192.168.174.128-192.168.174.1-52898-53-17,192.168.174.128,52898,192.168.174.1,53,17,25/05/2022 07:19:54 PM,3013380,2,1,82,41,41,41,41,0,41,41,41,0,40.81795193,0.995559803,1506690,719539.1326,2015481,997899,2015481,2015481,0,2015481,2015481,0,0,0,0,0,0,0,0,0,16,8,0.663706536,0.331853268,41,41,41,0,0,0,0,0,0,0,0,0,0,0,54.66666667,41,41,0,0,0,0,0,0,2,82,1,41,-1,-1,2,0,0,0,0,0,0,0,0,0,Malicious
192.168.174.130-192.168.174.1-50461-53-17,192.168.174.130,50461,192.168.174.1,53,17,25/05/2022 07:15:13 PM,3014962,2,1,68,34,34,34,34,0,34,34,34,0,33.83127217,0.995037417,1507481,718850.4106,2015785,999177,2015785,2015785,0,2015785,2015785,0,0,0,0,0,0,0,0,0,16,8,0.663358278,0.331679139,34,34,34,0,0,0,0,0,0,0,0,0,0,0,45.33333333,34,34,0,0,0,0,0,0,2,68,1,34,-1,-1,2,0,0,0,0,0,0,0,0,0,Malicious
